Article Number,Name,Labeling mode,Active,Labeler Enabled,Description,Unit,Shelf life 1,Simple text 01,Simple text 02,Simple text 03,Static Text Param #,Tare Weight,Unit Price,Special price,Currency,Automatic Label Parameter,Code number 1,Code number 2,Code number 3,Code substring 1,Code substring 2,Code substring 3,Date Text Field 1,Date Text Field 2,Fixed weight,General number 01,General number 02,Text Field 1,Text Field 2,Text Field 3,Text Field 4,Text Field 5,Text Field 6,Text Field 7,Text Field 8,Text Field 9,Text Field 10,Label parameter set no.,Logo 1,Logo 2,Maximum weight,Minimum weight,Pieces per package,Weight class no.
2001,Yevhen's Recipe 2001,Weight,TRUE,TRUE,changed by ,lb,18,simple text 1,simple text2,st3,1122,0.08 lb,19.99,17.99,USD,1,1,2,3,12345678901,codesubstr2,,Packed On:,Sell By:,1.7500 lb,1,2,Con Hasta 8% De Solucion De Agua,BNLS CNTR CUT LOIN CHOPS ,Pork Loin Boneless Center Cut Butterfly Chops,text4,text5,text6,text7,text8,text9,text10,1,1,2,2.5000 lb,1.7500 lb,8,1
12011,Premium Ribeye Steak,Weight,TRUE,TRUE,,lb,18,Fresh Cut,Premium Quality,,1,0.05,24.99,,USD,,1,2,3,2343412001,,,Packed On:,Sell By:,,,,USDA Prime Grade A Ribeye,,,,,,,,,,,,,,,,
12012,Wild Atlantic Salmon,Weight,TRUE,TRUE,,lb,16,Wild Caught,Atlantic,,2,0.02,32.5,,USD,,1,2,3,2343412002,,,Packed On:,Sell By:,,,,Fresh Wild Caught Atlantic Salmon Fillet,,,,,,,,,,,,,,,,
12013,Aged Cheddar Cheese,Weight,TRUE,TRUE,,lb,200,Aged 24mo,Canadian,,3,0.01,18.75,,USD,,1,2,3,2343412003,,,Packed On:,Sell By:,,,,24 Month Aged Canadian Cheddar,,,,,,,,,,,,,,,,
12014,Ground Beef 80/20,Weight,TRUE,TRUE,,lb,7,Fresh Daily,80/20,,2,0.03,8.99,,USD,,1,2,3,2343412004,,,Packed On:,Sell By:,,,,Fresh Ground Beef 80% Lean 20% Fat,,,,,,,,,,,,,,,,
12015,Brie de Meaux,Weight,TRUE,TRUE,,lb,150,French,Triple Cream,,1,0,25,,USD,,1,2,3,2343412005,,,Packed On:,Sell By:,,,,French Triple Cream Brie Cheese,,,,,,,,,,,,,,,,
12016,Yellowfin Tuna,Weight,TRUE,TRUE,,lb,16,Sushi Grade,Yellowfin,,2,0.02,28.5,,USD,,1,2,3,2343412006,,,Packed On:,Sell By:,,,,Sushi Grade Yellowfin Tuna Steak,,,,,,,,,,,,,,,,
12017,Parmesan Reggiano,Weight,TRUE,TRUE,,lb,250,Italian,36 Months,,3,0.01,45,,USD,,1,2,3,2343412007,,,Packed On:,Sell By:,,,,Authentic Italian Parmigiano Reggiano 36mo,,,,,,,,,,,,,,,,
12018,Lamb Rack Frenched,Weight,TRUE,TRUE,,lb,18,Grass Fed,New Zealand,,2,0.04,19.99,,USD,,1,2,3,2343412008,,,Packed On:,Sell By:,,,,New Zealand Grass Fed Lamb Rack,,,,,,,,,,,,,,,,
12019,Smoked Trout,Weight,TRUE,TRUE,,lb,90,Oak Smoked,Rainbow,,1,0.01,22.5,,USD,,1,2,3,2343412009,,,Packed On:,Sell By:,,,,Oak Smoked Rainbow Trout Fillet,,,,,,,,,,,,,,,,
12020,Gouda Aged,Weight,TRUE,TRUE,,lb,365,Dutch,18 Months,,2,0.02,16.75,,USD,,1,2,3,2343412010,,,Packed On:,Sell By:,,,,Dutch Aged Gouda Cheese 18 Months,,,,,,,,,,,,,,,,
